"Years: 1988 - 2024"
"1687 Projects Found"
"Project Number",URL,Title,"SARE Funds",Region,"Project Type",State,"Project Year","Grant Recipient Organization"
ONE18-312,https://projects.sare.org/sare_project/ONE18-312,"Understanding Quality Standards for Cereal Rye to Help Farmers Access Value-Added Markets for Malting, Distilling, and Baking","14,971.00",Northeast,"On Farm Research/Partnership",VT,2018,"University of Vermont and State Agricultural College"
GNE18-183,https://projects.sare.org/sare_project/GNE18-183,"Evaluating Abiotic Factors Associated with Onion Maggot Control Failure in Northeastern Onion Production Systems","14,984.00",Northeast,"Graduate Student",NY,2018,"Cornell University"
GNE18-191,https://projects.sare.org/sare_project/GNE18-191,"Low Tunnel Strawberries: Survey of Pest Incidence and Recommendations for Biological Control of Two-Spotted Spider Mite and Tarnished Plant Bug","14,988.00",Northeast,"Graduate Student",NY,2018,"Cornell University"
GS18-190,https://projects.sare.org/sare_project/GS18-190,"Innovations in Spotted Wing Drosophila (Drosophila suzukii Matsumura) Monitoring and Attract-and-Kill for Development of More Targeted IPM Programs","16,334.00",Southern,"Graduate Student",FL,2018,"University of Florida"
GS18-193,https://projects.sare.org/sare_project/GS18-193,"Investigating Controls Over Nodulation and Nitrogen Fixation in Leguminous Cover Crops in Subtropical South Texas","16,500.00",Southern,"Graduate Student",TX,2018,"University of Texas Rio Grande Valley"
GS18-181,https://projects.sare.org/sare_project/GS18-181,"Integrated Weed Management for Long-Term Nutsedge Control and Its Economic Impact in Florida Vegetable Production","15,361.00",Southern,"Graduate Student",FL,2018,"University of Florida"
FW19-349,https://projects.sare.org/sare_project/FW19-349,"Performance of novel clonal cacao accessions in Hawaii under sustainable farming conditions","20,000.00",Western,Farmer/Rancher,HI,2019,"Ninole Cacao LLC"
FW19-357,https://projects.sare.org/sare_project/FW19-357,"The use of goat herding techniques to reduce the effects of predation while improving rangeland health in the high plains of New Mexico","20,000.00",Western,Farmer/Rancher,NM,2019,"Sol Ranch LLC"
OS19-126,https://projects.sare.org/sare_project/OS19-126,"Off-season Plant-parasitic Nematode Management for Vegetables through Biofumigant Cover Crops","15,000.00",Southern,"On Farm Research/Partnership",GA,2019,"University of Georgia"
FNE19-916,https://projects.sare.org/sare_project/FNE19-916,"Evaluation of Electrolyzed Water as a Low-Cost, Organic Method to Reduce Contamination in Indoor Production of Gourmet Mushrooms","15,000.00",Northeast,Farmer/Rancher,MA,2019,"Fat Moon Mushrooms"
FNE19-943,https://projects.sare.org/sare_project/FNE19-943,"Effect of an Indigenous Soil Microbial Inoculant on Soil, Soil Microbial Community and Leaf Nutrient Density","12,323.00",Northeast,Farmer/Rancher,RI,2019,"Endless Farm LLC"
GNE19-223,https://projects.sare.org/sare_project/GNE19-223,"Identifying Tomato Varieties with Resistance to Current Aggressive Strains of the Leaf Mold Pathogen","14,797.00",Northeast,"Graduate Student",NY,2019,"Cornell University"
GNE19-216,https://projects.sare.org/sare_project/GNE19-216,"Assessing the Effects of Neonicotinoid Treatments on Pumpkin on Bee Visitation and Pathogen Transmission","11,435.00",Northeast,"Graduate Student",PA,2019,"The Pennsylvania State University"
WSP18-008,https://projects.sare.org/sare_project/WSP18-008,"Idaho 2018-20 PDP project","28,636.00",Western,"PDP State Program",ID,2018,"University of Idaho Extension"
FNC20-1238,https://projects.sare.org/sare_project/FNC20-1238,"Organic Apple Production In High Tunnels","9,000.00","North Central",Farmer/Rancher,WI,2020,"Two Onion Farm"
OS20-132,https://projects.sare.org/sare_project/OS20-132,"Fertilizer Mismanagement Impacts on Pasture Health","19,828.00",Southern,"On Farm Research/Partnership",FL,2020,"University of Florida"
LNE20-401,https://projects.sare.org/sare_project/LNE20-401,"Optimization of Preventative Biorational Strawberry Fruit and Root Disease Management Techniques","244,349.00",Northeast,"Research and Education",WV,2020,"West Virginia University, Virginia Polytechnic Institute and State University, University of Maine"
LNE20-402,https://projects.sare.org/sare_project/LNE20-402,"Improving Production and Yield of Winter Greens in the Northeast","84,948.00",Northeast,"Research and Education",MA,2020,"UMass Extension Vegetable Program"
WSP20-008,https://projects.sare.org/sare_project/WSP20-008,"Western SARE 2020 in Washington State","45,886.00",Western,"PDP State Program",WA,2020,"Washington State University"
GW20-217,https://projects.sare.org/sare_project/GW20-217,"The effects of cover crops on soil arthropod communities in the Inland Pacific Northwest","24,993.00",Western,"Graduate Student",ID,2020,"University of Idaho"
FNC21-1303,https://projects.sare.org/sare_project/FNC21-1303,"Enhancing Midwest Hop Productivity Using Photoperiodism","9,000.00","North Central",Farmer/Rancher,OH,2021,"Scott Farms"
FNC21-1315,https://projects.sare.org/sare_project/FNC21-1315,"Investigating the Ecological Impact of Pairing Agroforestry Establishment with Biochar Production","7,609.00","North Central",Farmer/Rancher,IL,2021,"Zumwalt Acres"
LS21-353,https://projects.sare.org/sare_project/LS21-353,"Evaluating the Dual-Purpose of Chickpea: A Cash and Cover Crop for Agricultural Production Systems in the Southeast","397,648.00",Southern,"Research and Education",FL,2021,"University of Florida, Florida A&amp;M University"
SW21-930,https://projects.sare.org/sare_project/SW21-930,"Intercropping chickpea with flax: An alternative sustainable way to manage Ascochyta blight of Chickpea","347,557.00",Western,"Research and Education",MT,2021,"Montana State University"
LNC21-457,https://projects.sare.org/sare_project/LNC21-457,"Advancing Spotted-Wing Drosophila Sustainable Management Techniques for Strawberries in Minnesota","249,906.00","North Central","Research and Education",MN,2021,"University of Minnesota"
GNE21-271,https://projects.sare.org/sare_project/GNE21-271,"Developing a plant-based attractant to trap swede midge, Contarinia nasturtii (Diptera: Cecidomyiidae)","14,438.00",Northeast,"Graduate Student",VT,2021,"The University of Vermont"
GNE21-264,https://projects.sare.org/sare_project/GNE21-264,"Interactive effects of pesticides, drought, and pathogens on the common eastern bumble bee Bombus impatiens.","15,000.00",Northeast,"Graduate Student",MA,2021,"University of Massachusetts"
GNE21-270,https://projects.sare.org/sare_project/GNE21-270,"Determining the effect of cover cropping legacy on mycotoxin accumulation and fusarium disease in maize","15,000.00",Northeast,"Graduate Student",PA,2021,"Pennsylvania State University"
FNC22-1354,https://projects.sare.org/sare_project/FNC22-1354,"Accelerating Soil Health and Farm Profitability using Biological Amendments","29,864.00","North Central",Farmer/Rancher,NE,2022,"Jeff Steffen"
LNE22-445,https://projects.sare.org/sare_project/LNE22-445,"Supporting New High-Tunnel Vegetable Growers with a Comprehensive Crop Management Approach","199,688.00",Northeast,"Research and Education",VT,2022,"University of Vermont"
SW22-936,https://projects.sare.org/sare_project/SW22-936,"Entomopathogenic Bombs – Sweet Potato Weevils Be Gone","336,848.00",Western,"Research and Education",HI,2022,"University of Hawaii"
SNE22-006-MD,https://projects.sare.org/sare_project/SNE22-006-MD,"Strawberry and Raspberry Season Extension Using Low Tunnel, High Tunnel, and Day Neutral and Primocane Species","141,000.00",Northeast,"PDP State Program",MD,2022,"University of Maryland Eastern Shore"
ONC23-133,https://projects.sare.org/sare_project/ONC23-133,"Adaptive Pruning of Cold-Hardy Commercial Wine Grape Cultivars","48,166.00","North Central","On Farm Research/Partnership",IA,2023,"Iowa State University Extension and Outreach"
FNC23-1371,https://projects.sare.org/sare_project/FNC23-1371,"Investigating Viable Management Strategies of Marssonina Leaf Blotch in Organic Apple Production in Central Ohio","8,280.00","North Central",Farmer/Rancher,OH,2023,"Charlie's Apples"
LNE23-472R,https://projects.sare.org/sare_project/LNE23-472R,"Determining if Beneficial Fungi Increase Tree Growth and Reduce the Need for Fertilization and Irrigation of Newly Planted Apple Trees.","194,378.00",Northeast,"Research Only",NY,2023,"Cornell University Cooperative Extension"
GS23-274,https://projects.sare.org/sare_project/GS23-274,"Enhancing the Biological Control of the Diamondback Moth (Plutella xylostella) Through Habitat Management for Sustainable Brassica Production","12,341.00",Southern,"Graduate Student",SC,2023,"Clemson university"
GNC24-400,https://projects.sare.org/sare_project/GNC24-400,"Impact of Attract-and-Kill Expansion on Popillia japonica (Coleoptera: Scarabaeidae) in Wisconsin Vineyards","17,183.00","North Central","Graduate Student",WI,2024,"University of Wisconsin-Madison"
ONE13-191,https://projects.sare.org/sare_project/ONE13-191,"Realizing the potential of high tunnel tomato production and income in southern New England","14,996.00",Northeast,"On Farm Research/Partnership",RI,2013,
EW96-011,https://projects.sare.org/sare_project/EW96-011,"Professional Training in Biologically Integrated Orchard Systems","155,940.00",Western,"Professional Development Program",CA,1996,
FNC07-672,https://projects.sare.org/sare_project/FNC07-672,"Urban Agricultural Youth Program","6,000.00","North Central",Farmer/Rancher,MO,2007,
FNC09-762,https://projects.sare.org/sare_project/FNC09-762,"Kenyan Women's Community Sustainable Farming (CSF) Project: Cultivation of Mwangani (Cleome gynandra)","17,286.50","North Central",Farmer/Rancher,MN,2009,
FNE11-704,https://projects.sare.org/sare_project/FNE11-704,"Soil Nutrition and Fertility Options for Organic Hop Growers in the Northeast","4,417.00",Northeast,Farmer/Rancher,VT,2011,
FNE12-743,https://projects.sare.org/sare_project/FNE12-743,"Effectiveness of wet spent brewer's grains as mulch in mixed vegetable production","6,989.00",Northeast,Farmer/Rancher,NY,2012,
FNE14-799,https://projects.sare.org/sare_project/FNE14-799,"Bedding material comparison in a composting barn","11,081.00",Northeast,Farmer/Rancher,NY,2014,
FNE15-829,https://projects.sare.org/sare_project/FNE15-829,"Melon and watermelon grafting for disease resistance in hoop houses","13,483.00",Northeast,Farmer/Rancher,NY,2015,
FW06-036,https://projects.sare.org/sare_project/FW06-036,"Winter and Summer Greenhouse Production for Small-scale Growers","6,235.00",Western,Farmer/Rancher,ID,2006,
FW06-324,https://projects.sare.org/sare_project/FW06-324,"Banking on Beetles in Oregon","19,068.00",Western,"On Farm Research/Partnership",OR,2006,
FW09-328,https://projects.sare.org/sare_project/FW09-328,"Increasing Grower Adoption of Adaptive Cover Cropping Systems: Effects on Vegetable Production and Nitrogen Cycling","50,000.00",Western,Farmer/Rancher,OR,2009,
FW15-045,https://projects.sare.org/sare_project/FW15-045,"Lavender Intercropping and Soil Management","13,665.00",Western,Farmer/Rancher,NM,2015,"Bluefly Farms, LLC"
GNE12-043,https://projects.sare.org/sare_project/GNE12-043,"Developing an adaptive management framework for promoting agroecosystem services through cover crops","14,974.00",Northeast,"Graduate Student",NY,2012,"Cornell University"
GW06-011,https://projects.sare.org/sare_project/GW06-011,"Soil Community Structure, Function, and Spatial Variation in an Organic Agroecosystem","10,000.00",Western,"Graduate Student",WA,2006,"Washington State University"
GW11-001,https://projects.sare.org/sare_project/GW11-001,"Pastured Poultry/Crop Systems and Their Effect on Food Safety, Farm Economy, and Soil Quality","24,807.00",Western,"Graduate Student",CA,2011,"University of California, Santa Cruz"
LNE05-223,https://projects.sare.org/sare_project/LNE05-223,"New Entry Sustainable Farming Project transitioning farmer program","133,468.00",Northeast,"Research and Education",MA,2005,
LNE06-245,https://projects.sare.org/sare_project/LNE06-245,"Optimizing reduced tillage for root, leafy, and organic vegetables grown in the Northeast","164,628.00",Northeast,"Research and Education",NY,2006,
LNE10-303,https://projects.sare.org/sare_project/LNE10-303,"Development and implementation of an equine environmental stewardship program","135,000.00",Northeast,"Research and Education",PA,2010,"Penn State University"
LS13-259,https://projects.sare.org/sare_project/LS13-259,"Participatory assessment of progress, barriers and opportunities for sustainability in Southern agricultural systems","100,000.00",Southern,"Research and Education",AR,2013,
SW01-020,https://projects.sare.org/sare_project/SW01-020,"Production of Drought-adapted Intermountain Native Plants Through Low-cost, In-containers for Emerging Western Markets","71,686.00",Western,"Research and Education",UT,2001,
SW98-044,https://projects.sare.org/sare_project/SW98-044,"Cropping Systems for Intensive Desert Vegetable Production","130,672.00",Western,"Research and Education",CA,1998,
YENC08-001,https://projects.sare.org/sare_project/YENC08-001,"Seed to Seed: Riverway Learning Community Gardening Project","2,000.00","North Central","Youth Educator",MN,2008,
YENC10-037,https://projects.sare.org/sare_project/YENC10-037,"A Five Part Plan to Bring to Life a More Sustainable School Garden.","1,200.00","North Central","Youth Educator",MO,2010,
FNC16-1060,https://projects.sare.org/sare_project/FNC16-1060,"Optimizing a Short Trellis System for Growing Cascade Hops in Michigan","7,500.00","North Central",Farmer/Rancher,MI,2016,"Honeybee Farm"
